Date,Open,High,Low,Close,Adj Close,Volume
2023-01-17,121.059998,122.540001,119.559998,120.239998,118.970222,5228500
2023-01-18,121.199997,123.709999,118.360001,118.550003,117.298073,5138700
2023-01-19,117.550003,120.260002,116.260002,119.639999,118.376564,5049100
2023-01-20,120.160004,121.910004,119.250000,121.800003,120.513756,5101400
2023-01-23,122.459999,123.169998,119.970001,120.129997,118.861382,3963200
2023-01-24,121.000000,121.000000,117.639999,118.809998,117.555321,4216900
2023-01-25,118.199997,120.379997,116.639999,120.370003,119.098854,3984700
2023-01-26,122.290001,124.730003,120.800003,124.650002,123.333656,5807400
2023-01-27,124.690002,126.389999,123.519997,123.610001,122.304642,4857500
2023-01-30,122.089996,122.599998,120.330002,120.529999,119.257164,5246300
2023-01-31,120.220001,122.089996,119.099998,121.870003,120.583008,5200100
2023-02-01,120.709999,120.970001,115.199997,117.699997,116.457047,7282300
2023-02-02,113.489998,115.389999,109.760002,111.300003,110.124634,11531300
2023-02-03,111.309998,112.389999,107.760002,108.110001,106.968323,13504200
2023-02-06,108.570000,109.949997,106.730003,107.489998,106.354866,11516300
2023-02-07,108.410004,112.150002,107.410004,112.019997,110.837029,7370600
2023-02-08,112.230003,113.000000,109.839996,110.790001,109.620018,6713200
2023-02-09,110.610001,111.739998,109.849998,109.930000,108.769096,5768300
2023-02-10,111.980003,115.370003,111.830002,115.059998,113.844925,10779200
2023-02-13,113.949997,114.099998,112.120003,112.309998,111.618713,6018200
2023-02-14,111.000000,114.449997,110.550003,113.550003,112.851089,7308100
2023-02-15,111.820000,112.169998,109.980003,111.650002,110.962784,7203700
2023-02-16,110.879997,111.709999,108.089996,108.360001,107.693031,6531900
2023-02-17,106.139999,106.669998,103.169998,104.120003,103.479134,11294500
2023-02-21,104.010002,106.120003,103.510002,105.309998,104.661804,7200600
2023-02-22,105.480003,105.480003,102.959999,104.080002,103.439377,7929500
2023-02-23,106.000000,106.400002,104.070000,105.430000,104.781067,6095800
2023-02-24,104.169998,105.550003,103.360001,105.250000,104.602173,5617900
2023-02-27,105.169998,106.180000,103.440002,105.860001,105.208420,7429300
2023-02-28,106.660004,107.309998,103.309998,103.349998,102.713867,8771800
2023-03-01,103.730003,107.680000,103.230003,106.250000,105.596016,6064700
2023-03-02,106.070000,108.959999,105.779999,108.330002,107.663216,5458600
2023-03-03,106.269997,109.080002,105.820000,108.639999,107.971306,7075100
2023-03-06,107.580002,109.599998,107.099998,109.559998,108.885643,6200900
2023-03-07,108.589996,108.919998,106.669998,107.650002,106.987404,4973200
2023-03-08,107.000000,108.529999,105.760002,107.230003,106.569992,4576800
2023-03-09,107.919998,109.250000,105.360001,105.809998,105.158722,5191600
2023-03-10,105.730003,107.330002,103.599998,104.220001,103.578514,5313100
2023-03-13,102.000000,103.580002,99.570000,100.680000,100.060303,8789700
2023-03-14,101.050003,104.419998,99.620003,101.360001,100.736115,7090800
2023-03-15,97.419998,98.709999,93.589996,95.239998,94.653786,10661200
2023-03-16,92.010002,96.500000,91.529999,96.400002,95.806648,10111500
2023-03-17,96.349998,96.949997,93.500000,94.389999,93.809013,17056000
2023-03-20,94.839996,96.889999,94.709999,96.160004,95.568123,7932900
2023-03-21,98.089996,100.089996,98.000000,99.709999,99.096268,6770200
2023-03-22,100.000000,101.089996,98.290001,98.370003,97.764519,5635500
2023-03-23,98.510002,99.760002,95.500000,96.419998,95.826523,5866400
2023-03-24,94.559998,95.900002,93.260002,95.430000,94.842613,8385900
2023-03-27,96.309998,98.500000,95.599998,97.480003,96.879997,6049700
2023-03-28,96.610001,98.690002,96.430000,97.930000,97.930000,3792000
2023-03-29,99.639999,100.300003,98.669998,99.750000,99.750000,7596300
2023-03-30,100.610001,100.860001,98.870003,99.250000,99.250000,5461100
2023-03-31,99.809998,99.900002,98.940002,99.209999,99.209999,7708300
2023-04-03,105.129997,109.139999,105.010002,108.419998,108.419998,12394300
2023-04-04,108.330002,108.769997,105.110001,106.300003,106.300003,5425500
2023-04-05,106.910004,107.879997,105.919998,107.750000,107.750000,5806800
2023-04-06,106.900002,107.739998,105.889999,106.260002,106.260002,5087800
2023-04-10,107.040001,108.010002,105.610001,105.949997,105.949997,4374700
2023-04-11,106.099998,107.199997,105.489998,106.750000,106.750000,4812200
2023-04-12,108.480003,109.089996,107.410004,107.529999,107.529999,8108200
2023-04-13,107.940002,109.900002,107.120003,109.040001,109.040001,7160100
2023-04-14,109.480003,110.019997,108.120003,108.500000,108.500000,5052100
