Date,Open,High,Low,Close,Adj Close,Volume
2023-01-17,58.150002,58.930000,57.959999,58.459999,58.184711,8467200
2023-01-18,58.939999,59.450001,57.029999,57.130001,56.860977,11332700
2023-01-19,56.290001,57.939999,56.209999,57.380001,57.109798,15283700
2023-01-20,57.490002,58.990002,56.220001,57.349998,57.079937,19204800
2023-01-23,57.500000,57.700001,55.230000,55.860001,55.596954,15090600
2023-01-24,54.070000,56.439999,54.070000,55.470001,55.208794,8784400
2023-01-25,55.150002,56.500000,54.270000,56.250000,55.985119,9053000
2023-01-26,56.619999,57.549999,55.299999,57.470001,57.199375,8581500
2023-01-27,57.320000,58.099998,56.599998,56.970001,56.701729,7669500
2023-01-30,56.630001,56.830002,56.119999,56.340000,56.074696,6181100
2023-01-31,56.279999,57.439999,55.980000,56.980000,56.711681,5951900
2023-02-01,56.910000,57.439999,55.000000,55.700001,55.437710,10454000
2023-02-02,55.259998,55.259998,51.970001,52.290001,52.043766,17007600
2023-02-03,52.820000,54.669998,52.549999,52.639999,52.392117,10737000
2023-02-06,52.799999,53.380001,52.189999,53.090000,52.840000,6482100
2023-02-07,53.439999,54.130001,52.740002,53.889999,53.889999,9109700
2023-02-08,54.000000,55.130001,53.750000,54.709999,54.709999,7939900
2023-02-09,54.459999,54.740002,53.740002,53.840000,53.840000,7116500
2023-02-10,54.770000,56.419998,54.480000,56.360001,56.360001,9410700
2023-02-13,55.900002,57.360001,55.240002,57.310001,57.310001,8964200
2023-02-14,56.410000,57.799999,56.110001,56.820000,56.820000,7437300
2023-02-15,56.150002,56.299999,55.020000,55.990002,55.990002,7077200
2023-02-16,56.000000,56.590000,55.419998,55.779999,55.779999,5089700
2023-02-17,55.000000,55.060001,53.130001,53.340000,53.340000,9162900
2023-02-21,53.299999,54.590000,53.270000,53.400002,53.400002,7422100
2023-02-22,53.160000,53.939999,52.040001,52.410000,52.410000,9181100
2023-02-23,53.580002,54.020000,52.869999,53.320000,53.320000,6324500
2023-02-24,52.799999,54.130001,52.200001,53.919998,53.919998,8458700
2023-02-27,54.029999,54.529999,53.389999,54.400002,54.400002,6287000
2023-02-28,54.990002,55.290001,53.200001,53.209999,53.209999,10634200
2023-03-01,53.250000,55.160000,53.119999,54.889999,54.889999,7166500
2023-03-02,54.619999,55.480000,54.049999,55.299999,55.299999,5668300
2023-03-03,54.490002,56.139999,54.189999,55.990002,55.990002,6726500
2023-03-06,55.470001,55.730000,54.939999,55.349998,55.349998,6116600
2023-03-07,55.020000,55.070000,54.000000,54.040001,54.040001,6908500
2023-03-08,53.709999,54.259998,52.320000,53.540001,53.540001,7555000
2023-03-09,53.900002,54.439999,52.099998,52.189999,52.189999,8844300
2023-03-10,51.770000,52.950001,50.660000,51.000000,51.000000,8608400
2023-03-13,49.369999,50.490002,48.320000,48.840000,48.840000,10914700
2023-03-14,49.250000,50.889999,48.450001,49.360001,49.360001,10345900
2023-03-15,46.770000,46.959999,44.720001,45.320000,45.320000,18103300
2023-03-16,44.340000,46.529999,44.080002,46.180000,46.180000,16769500
2023-03-17,45.950001,46.000000,44.369999,44.680000,44.680000,20723800
2023-03-20,44.889999,46.549999,44.700001,46.220001,46.220001,10496100
2023-03-21,47.990002,48.660000,47.520000,48.279999,48.279999,10486500
2023-03-22,48.549999,48.910000,47.290001,47.400002,47.400002,11557000
2023-03-23,47.439999,47.840000,45.040001,45.480000,45.480000,12213400
2023-03-24,44.209999,45.000000,43.820000,44.570000,44.570000,19753600
2023-03-27,45.619999,46.930000,45.209999,46.770000,46.770000,10579800
2023-03-28,46.770000,47.869999,46.509998,47.639999,47.639999,6816200
2023-03-29,48.250000,48.799999,48.029999,48.700001,48.700001,9569700
2023-03-30,49.389999,49.529999,48.490002,48.740002,48.740002,7353600
2023-03-31,48.849998,49.480000,48.619999,49.099998,49.099998,8152600
2023-04-03,52.270000,53.810001,51.970001,52.330002,52.330002,20003400
2023-04-04,52.360001,52.529999,49.959999,50.459999,50.459999,9378100
2023-04-05,50.580002,51.160000,49.910000,50.700001,50.700001,9102100
2023-04-06,50.680000,50.840000,49.500000,49.619999,49.619999,6734100
2023-04-10,49.810001,50.959999,49.730000,50.040001,50.040001,5278400
2023-04-11,50.330002,51.400002,49.950001,51.139999,51.139999,8081100
2023-04-12,51.320000,52.220001,50.759998,51.980000,51.980000,8400500
2023-04-13,51.939999,52.299999,51.759998,51.889999,51.889999,6544300
2023-04-14,52.400002,53.150002,51.889999,52.480000,52.480000,8036000
