Date,Open,High,Low,Close,Adj Close,Volume
2023-01-17,168.990005,177.279999,168.990005,177.020004,176.989944,51110200
2023-01-18,176.669998,178.729996,172.820007,173.770004,173.740494,43962400
2023-01-19,170.360001,171.970001,167.309998,167.649994,167.621521,45293200
2023-01-20,170.110001,178.559998,168.250000,178.389999,178.359711,56496700
2023-01-23,180.639999,192.449997,178.179993,191.929993,191.897400,65516300
2023-01-24,188.270004,194.949997,188.199997,192.649994,192.617279,49620400
2023-01-25,189.130005,193.699997,185.800003,193.229996,193.197189,44953700
2023-01-26,197.009995,201.660004,192.779999,198.020004,197.986374,48953500
2023-01-27,194.619995,206.279999,194.050003,203.649994,203.615417,54214200
2023-01-30,199.500000,201.399994,191.500000,191.619995,191.587448,48861100
2023-01-31,191.699997,196.869995,189.500000,195.369995,195.336823,49801700
2023-02-01,196.910004,211.919998,196.110001,209.429993,209.394424,66047700
2023-02-02,210.000000,219.490005,207.000000,217.089996,217.053131,56427600
2023-02-03,210.000000,217.449997,207.889999,211.000000,210.964172,42936600
2023-02-06,208.059998,215.699997,207.860001,210.889999,210.854187,45219700
2023-02-07,213.820007,222.589996,211.500000,221.729996,221.692337,66415000
2023-02-08,223.869995,228.779999,220.080002,222.050003,222.012299,55965100
2023-02-09,226.059998,230.199997,221.199997,223.369995,223.332062,52387600
2023-02-10,216.899994,220.779999,208.110001,212.649994,212.613876,55073700
2023-02-13,215.380005,220.479996,209.619995,217.880005,217.843002,47491900
2023-02-14,215.779999,230.490005,213.660004,229.710007,229.671005,67547400
2023-02-15,225.490005,228.550003,221.059998,227.639999,227.601349,42057500
2023-02-16,221.330002,225.500000,219.270004,220.020004,219.982635,41202600
2023-02-17,216.309998,217.399994,209.750000,213.880005,213.843689,46588800
2023-02-21,210.000000,214.940002,206.179993,206.550003,206.514923,41001500
2023-02-22,207.070007,211.039993,204.210007,207.539993,207.504745,51318400
2023-02-23,234.399994,238.880005,230.250000,236.639999,236.599808,111799500
2023-02-24,232.250000,234.740005,229.470001,232.860001,232.820465,58971600
2023-02-27,236.699997,238.800003,234.539993,235.009995,234.970093,45299400
2023-02-28,233.720001,238.250000,232.059998,232.160004,232.120575,45596300
2023-03-01,231.919998,232.559998,225.080002,226.979996,226.941452,46002600
2023-03-02,224.880005,233.800003,224.320007,233.139999,233.100403,38941500
2023-03-03,233.199997,239.000000,231.300003,238.899994,238.859421,41239300
2023-03-06,238.910004,242.479996,234.869995,235.539993,235.500000,43742900
2023-03-07,236.000000,241.250000,232.410004,232.880005,232.880005,51515400
2023-03-08,234.869995,242.000000,234.240005,241.809998,241.809998,51357300
2023-03-09,241.750000,244.539993,233.830002,234.360001,234.360001,50125700
2023-03-10,234.089996,236.270004,227.259995,229.649994,229.649994,47486600
2023-03-13,227.520004,232.979996,222.970001,229.660004,229.660004,42189000
2023-03-14,234.960007,242.190002,234.600006,240.630005,240.630005,47491000
2023-03-15,237.610001,242.860001,233.600006,242.279999,242.279999,52448600
2023-03-16,240.270004,255.880005,238.940002,255.410004,255.410004,58325300
2023-03-17,259.820007,263.989990,256.679993,257.250000,257.250000,84854700
2023-03-20,256.149994,260.239990,251.300003,259.000000,259.000000,43274700
2023-03-21,261.799988,263.920013,253.809998,261.989990,261.989990,54740800
2023-03-22,264.250000,275.890015,262.369995,264.679993,264.679993,79729500
2023-03-23,271.149994,274.989990,266.899994,271.910004,271.910004,56488900
2023-03-24,270.309998,271.670013,263.549988,267.790009,267.790009,45492000
2023-03-27,268.369995,270.000000,263.649994,265.309998,265.309998,36102600
2023-03-28,264.470001,265.130005,258.500000,264.100006,264.100006,35610400
2023-03-29,268.250000,270.779999,265.970001,269.839996,269.839996,39369400
2023-03-30,272.290009,274.989990,271.019989,273.829987,273.829987,36451600
2023-03-31,271.399994,278.339996,271.049988,277.769989,277.769989,43324300
2023-04-03,275.089996,280.000000,273.359985,279.649994,279.649994,39871600
2023-04-04,279.660004,280.000000,273.070007,274.529999,274.529999,36859200
2023-04-05,268.290009,269.980011,263.950012,268.809998,268.809998,51501500
2023-04-06,265.839996,270.799988,264.269989,270.369995,270.369995,39765400
2023-04-10,268.230011,276.209991,266.690002,275.790009,275.790009,39527900
2023-04-11,277.239990,277.899994,271.260010,271.690002,271.690002,31437800
2023-04-12,273.700012,274.679993,264.480011,264.950012,264.950012,44625900
2023-04-13,267.339996,268.869995,263.290009,264.630005,264.630005,35361500
2023-04-14,265.040009,268.829987,262.200012,267.579987,267.579987,39505500
