Date,Open,High,Low,Close,Adj Close,Volume
2023-01-17,80.139999,80.665001,78.879997,80.180000,80.180000,11261800
2023-01-18,79.800003,80.750000,77.121002,77.309998,77.309998,13601900
2023-01-19,76.261002,77.419998,75.959999,76.750000,76.750000,10023400
2023-01-20,77.012001,79.099998,75.900002,79.089996,79.089996,12193200
2023-01-23,77.830002,79.720001,76.660004,79.500000,79.500000,17407300
2023-01-24,79.379997,80.389999,78.110001,79.580002,79.580002,9491300
2023-01-25,78.559998,79.550003,77.300003,79.099998,79.099998,9463400
2023-01-26,80.080002,80.900002,78.556000,80.809998,80.809998,10566000
2023-01-27,80.559998,82.535004,80.320000,81.830002,81.830002,10889100
2023-01-30,80.870003,81.360001,79.535004,79.639999,79.639999,10301000
2023-01-31,79.699997,82.470001,79.610001,81.489998,81.489998,15730300
2023-02-01,81.339996,83.599998,79.580002,82.910004,82.910004,13221600
2023-02-02,86.720001,88.625000,84.650002,86.959999,86.959999,16906600
2023-02-03,85.389999,87.839996,85.199997,85.519997,85.519997,14786900
2023-02-06,83.330002,83.800003,82.135002,82.330002,82.330002,14175900
2023-02-07,82.059998,83.669998,80.822998,83.230003,83.230003,13520800
2023-02-08,82.349998,82.610001,79.620003,79.720001,79.720001,13569300
2023-02-09,81.730003,81.800003,78.095001,78.419998,78.419998,25473900
2023-02-10,79.370003,82.849998,78.599998,80.800003,80.800003,37521000
2023-02-13,80.650002,80.709999,78.440002,79.449997,79.449997,15898500
2023-02-14,79.000000,79.373001,76.300003,77.260002,77.260002,18802000
2023-02-15,76.529999,78.790001,76.050003,77.910004,77.910004,14494600
2023-02-16,76.870003,78.720001,76.540001,76.730003,76.730003,11461800
2023-02-17,76.199997,76.330002,73.589996,74.660004,74.660004,15855700
2023-02-21,73.709999,75.570000,73.681999,75.239998,75.239998,14537400
2023-02-22,75.360001,76.279999,74.885002,75.480003,75.480003,9526700
2023-02-23,75.889999,76.279999,73.625999,75.190002,75.190002,9292000
2023-02-24,73.500000,74.029999,72.980003,73.550003,73.550003,12317700
2023-02-27,74.320000,74.565002,73.459999,73.769997,73.769997,8579300
2023-02-28,73.529999,74.339996,73.129997,73.599998,73.599998,8607400
2023-03-01,73.629997,74.220001,73.250000,73.820000,73.820000,7699600
2023-03-02,72.624001,74.370003,72.599998,74.099998,74.099998,7729100
2023-03-03,74.160004,76.320000,74.089996,76.290001,76.290001,10040000
2023-03-06,76.940002,77.760002,76.360001,76.779999,76.779999,9608600
2023-03-07,76.540001,77.379997,74.790001,74.910004,74.910004,9680400
2023-03-08,75.160004,76.199997,74.349998,75.839996,75.839996,9467900
2023-03-09,76.959999,79.264999,75.724998,75.930000,75.930000,17398200
2023-03-10,75.940002,75.940002,73.099998,73.430000,73.430000,13123800
2023-03-13,72.622002,73.970001,71.085999,72.610001,72.610001,14049000
2023-03-14,74.074997,74.669998,72.675003,73.239998,73.239998,12491500
2023-03-15,72.110001,73.940002,71.769997,73.910004,73.910004,10548700
2023-03-16,73.434998,74.504997,72.519997,74.349998,74.349998,11641700
2023-03-17,73.949997,75.065002,72.477997,72.989998,72.989998,27210400
2023-03-20,73.000000,74.139999,72.019997,73.209999,73.209999,16888500
2023-03-21,74.139999,76.839996,74.070000,76.720001,76.720001,12327600
2023-03-22,76.860001,77.114998,74.239998,74.339996,74.339996,11641300
2023-03-23,72.949997,74.510002,71.709999,72.559998,72.559998,18567600
2023-03-24,71.919998,73.900002,71.529999,73.879997,73.879997,9181900
2023-03-27,74.815002,75.169998,73.180000,73.300003,73.300003,11908900
2023-03-28,73.099998,73.589996,71.860001,72.699997,72.699997,9252400
2023-03-29,73.209999,74.300003,73.000000,74.180000,74.180000,8746700
2023-03-30,74.930000,75.180000,73.900002,74.389999,74.389999,8429800
2023-03-31,74.510002,76.029999,74.120003,75.940002,75.940002,8372600
2023-04-03,75.625000,75.919998,74.705002,75.290001,75.290001,8911700
2023-04-04,75.459999,75.690002,74.730003,75.260002,75.260002,8949100
2023-04-05,75.110001,75.110001,73.114998,73.610001,73.610001,10812700
2023-04-06,73.269997,75.000000,72.279999,74.959999,74.959999,10524500
2023-04-10,74.459999,74.855003,73.459999,74.519997,74.519997,7591800
2023-04-11,76.029999,76.440002,73.209999,73.580002,73.580002,14190900
2023-04-12,73.940002,75.699997,73.349998,73.500000,73.500000,10422300
2023-04-13,73.709999,75.559998,73.559998,75.519997,75.519997,8724100
2023-04-14,75.199997,76.735001,75.150002,76.529999,76.529999,8898000
